index, word, occurances
0	The	620
1	Project	27
2	Gutenberg	21
3	EBook	2
4	of	4856
5	Adventures	2
6	Sherlock	95
7	Holmes	198
8	by	669
9	Sir	17
10	Arthur	14
11	Conan	3
12	Doyle	2
13	(#15	1
14	in	2746
15	our	227
16	series	10
17	Doyle)	1
18	Copyright	2
19	laws	18
20	are	343
21	changing	3
22	all	440
23	over	207
24	the	8805
25	world.	9
26	Be	4
27	sure	33
28	to	3730
29	check	8
30	copyright	8
31	for	1017
32	your	369
33	country	38
34	before	165
35	downloading	1
36	or	378
37	redistributing	1
38	this	493
39	any	179
40	other	200
41	eBook.	1
42	This	84
43	header	3
44	should	222
45	be	750
46	first	123
47	thing	36
48	seen	69
49	when	297
50	viewing	1
51	file.	2
52	Please	7
53	do	220
54	not	730
55	remove	8
56	it.	121
57	Do	17
58	change	21
59	edit	1
60	without	104
61	written	25
62	permission.	2
63	read	40
64	"legal	1
65	small	99
66	print,"	1
67	and	4213
68	information	13
69	about	204
70	eBook	19
71	at	921
72	bottom	6
73	Included	1
74	is	1172
75	important	25
76	specific	1
77	rights	19
78	restrictions	4
79	how	122
80	file	2
81	may	219
82	used.	4
83	You	132
84	can	176
85	also	68
86	find	84
87	out	317
88	make	95
89	a	3178
90	donation	2
91	Gutenberg,	4
92	get	69
93	involved.	3
94	**Welcome	1
95	To	37
96	World	9
97	Free	3
98	Plain	1
99	Vanilla	1
100	Electronic	1
101	Texts**	1
102	**eBooks	1
103	Readable	1
104	By	39
105	Both	9
106	Humans	1
107	Computers,	1
108	Since	3
109	1971**	1
110	*****These	1
111	eBooks	12
112	Were	2
113	Prepared	1
114	Thousands	4
115	Volunteers!*****	1
116	Title:	2
117	Author:	2
118	Release	2
119	Date:	2
120	March,	6
121	1999	2
122	[EBook	2
123	#1661]	1
124	[Most	1
125	recently	3
126	updated:	1
127	November	2
128	29,	3
129	2002]	1
130	Edition:	1
131	12	2
132	Language:	2
133	English	105
134	Character	4
135	set	71
136	encoding:	2
137	ASCII	2
138	***	7
139	START	2
140	OF	56
141	THE	102
142	PROJECT	8
143	GUTENBERG	3
144	EBOOK,	2
145	ADVENTURES	3
146	SHERLOCK	5
147	HOLMES	3
148	(Additional	1
149	editing	2
150	Jose	1
151	Menendez)	1
152	BY	6
153	SIR	1
154	ARTHUR	1
155	CONAN	1
156	DOYLE	1
157	CONTENTS	2
158	I.	28
159	A	118
160	Scandal	2
161	Bohemia	4
162	II.	7
163	Red-Headed	1
164	League	7
165	III.	8
166	Case	1
167	Identity	1
168	IV.	4
169	Boscombe	14
170	Valley	12
171	Mystery	1
172	V.	4
173	Five	4
174	Orange	1
175	Pips	1
176	VI.	4
177	Man	1
178	with	1051
179	Twisted	1
180	Lip	1
181	VII.	4
182	Adventure	6
183	Blue	2
184	Carbuncle	1
185	VIII.	4
186	Speckled	1
187	Band	1
188	IX.	3
189	Engineer's	1
190	Thumb	1
191	X.	4
192	Noble	1
193	Bachelor	1
194	XI.	3
195	Beryl	2
196	Coronet	1
197	XII.	3
198	Copper	8
199	Beeches	3
200	ADVENTURE	12
201	SCANDAL	1
202	IN	11
203	BOHEMIA	1
204	she	306
205	always	61
206	woman.	8
207	I	2545
208	have	941
209	seldom	7
210	heard	111
211	him	277
212	mention	2
213	her	392
214	under	102
215	name.	4
216	In	173
217	his	1270
218	eyes	59
219	eclipses	1
220	predominates	1
221	whole	62
222	sex.	1
223	It	369
224	was	1896
225	that	1815
226	he	1106
227	felt	31
228	emotion	3
229	akin	4
230	love	18
231	Irene	13
232	Adler.	2
233	All	35
234	emotions,	1
235	one	365
236	particularly,	2
237	were	752
238	abhorrent	1
239	cold,	5
240	precise	3
241	but	525
242	admirably	3
243	balanced	1
244	mind.	8
245	He	297
246	was,	21
247	take	88
248	it,	95
249	most	115
250	perfect	8
251	reasoning	8
252	observing	4
253	machine	13
254	world	8
255	has	289
256	seen,	3
257	as	1028
258	lover	6
259	would	339
260	placed	27
261	himself	71
262	false	4
263	position.	5
264	never	104
265	spoke	24
266	softer	1
267	passions,	1
268	save	41
269	gibe	1
270	sneer.	2
271	They	100
272	admirable	3
273	things	30
274	observer--excellent	1
275	drawing	6
276	veil	4
277	from	678
278	men's	3
279	motives	7
280	actions.	2
281	But	102
282	trained	9
283	reasoner	3
284	admit	4
285	such	142
286	intrusions	1
287	into	348
288	own	133
289	delicate	9
290	finely	1
291	adjusted	2
292	temperament	1
293	introduce	6
294	distracting	1
295	factor	4
296	which	878
297	might	130
298	throw	14
299	doubt	52
300	upon	530
301	mental	1
302	results.	5
303	Grit	1
304	sensitive	1
305	instrument,	1
306	crack	2
307	high-power	1
308	lenses,	1
309	more	222
310	disturbing	1
311	than	218
312	strong	38
313	nature	19
314	his.	1
315	And	85
316	yet	62
317	there	337
318	woman	35
319	him,	67
320	late	21
321	Adler,	5
322	dubious	1
323	questionable	2
324	memory.	5
325	had	1014
326	little	279
327	lately.	4
328	My	54
329	marriage	16
330	drifted	2
331	us	136
332	away	96
333	each	54
334	other.	11
335	complete	13
336	happiness,	2
337	home-centred	1
338	interests	10
339	rise	10
340	up	288
341	around	6
342	man	208
343	who	377
344	finds	4
345	master	9
346	establishment,	1
347	sufficient	7
348	absorb	1
349	my	903
350	attention,	4
351	while	85
352	Holmes,	124
353	loathed	1
354	every	116
355	form	26
356	society	7
357	Bohemian	4
358	soul,	1
359	remained	22
360	lodgings	7
361	Baker	33
362	Street,	19
363	buried	6
364	among	65
365	old	98
366	books,	4
367	alternating	1
368	week	16
369	between	80
370	cocaine	3
371	ambition,	1
372	drowsiness	1
373	drug,	4
374	fierce	6
375	energy	3
376	keen	10
377	nature.	5
378	still,	3
379	ever,	5
380	deeply	10
381	attracted	6
382	study	12
383	crime,	4
384	occupied	3
385	immense	14
386	faculties	2
387	extraordinary	22
388	powers	19
389	observation	4
390	following	23
391	those	95
392	clues,	1
393	clearing	8
394	mysteries	3
395	been	445
396	abandoned	3
397	hopeless	3
398	official	29
399	police.	5
400	From	27
401	time	144
402	some	260
403	vague	8
404	account	25
405	doings:	1
406	summons	3
407	Odessa	1
408	case	82
409	Trepoff	1
410	murder,	2
411	singular	32
412	tragedy	3
413	Atkinson	1
414	brothers	1
415	Trincomalee,	1
416	finally	19
417	mission	5
418	accomplished	2
419	so	357
420	delicately	1
421	successfully	1
422	reigning	3
423	family	22
424	Holland.	1
425	Beyond	4
426	these	93
427	signs	15
428	activity,	2
429	however,	115
430	merely	15
431	shared	1
432	readers	1
433	daily	4
434	press,	5
435	knew	58
436	former	6
437	friend	53
438	companion.	10
439	One	29
440	night--it	2
441	on	556
442	twentieth	2
443	1888--I	1
444	returning	10
445	journey	5
446	patient	1
447	(for	1
448	now	109
449	returned	31
450	civil	12
451	practice),	1
452	way	113
453	led	33
454	me	414
455	through	122
456	Street.	15
457	As	100
458	passed	61
459	well-remembered	1
460	door,	30
461	must	179
462	associated	9
463	mind	48
464	wooing,	1
465	dark	29
466	incidents	5
467	Study	3
468	Scarlet,	3
469	seized	17
470	desire	7
471	see	186
472	again,	15
473	know	144
474	employing	1
475	powers.	1
476	His	62
477	rooms	19
478	brilliantly	2
479	lit,	2
480	and,	61
481	even	89
482	looked	55
483	up,	36
484	saw	92
485	tall,	6
486	spare	6
487	figure	14
488	pass	16
489	twice	8
490	silhouette	1
491	against	107
492	blind.	2
493	pacing	3
494	room	57
495	swiftly,	3
496	eagerly,	1
497	head	48
498	sunk	8
499	chest	5
500	hands	54
501	clasped	1
502	behind	47
503	him.	86
504	me,	83
505	mood	2
506	habit,	2
507	attitude	1
508	manner	19
509	told	53
510	their	390
511	story.	7
512	work	43
513	again.	17
514	risen	4
515	drug-created	1
516	dreams	2
517	hot	8
518	scent	2
519	new	63
520	problem.	4
521	rang	5
522	bell	7
523	shown	20
524	chamber	10
525	formerly	2
526	part	56
527	own.	9
528	effusive.	1
529	was;	1
530	glad,	2
531	think,	31
532	me.	74
533	With	30
534	hardly	56
535	word	32
536	spoken,	2
537	kindly	12
538	eye,	1
539	waved	4
540	an	433
541	armchair,	3
542	threw	31
543	across	45
544	cigars,	2
545	indicated	5
546	spirit	22
547	gasogene	1
548	corner.	2
549	Then	77
550	stood	42
551	fire	21
552	introspective	2
553	fashion.	3
554	"Wedlock	1
555	suits	2
556	you,"	17
557	remarked.	15
558	"I	351
559	Watson,	40
560	you	1036
561	put	80
562	seven	30
563	half	46
564	pounds	6
565	since	33
566	you."	32
567	"Seven!"	1
568	answered.	19
569	"Indeed,	5
570	thought	75
571	more.	15
572	Just	12
573	trifle	2
574	more,	7
575	fancy,	4
576	Watson.	10
577	practice	19
578	observe.	3
579	did	183
580	tell	89
581	intended	7
582	go	86
583	harness."	1
584	"Then,	11
585	know?"	1
586	deduce	12
587	How	28
588	getting	7
589	yourself	33
590	very	400
591	wet	4
592	lately,	2
593	clumsy	1
594	careless	1
595	servant	9
596	girl?"	1
597	"My	38
598	dear	48
599	Holmes,"	11
600	said	457
601	I,	36
